Trt,PlantNo,TerminalBuds,LateralBuds,TotalBuds
A,8,32,23,55
A,156,15,9,24
A,226,41,14,55
A,170,14,27,41
A,87,1,1,2
A,241,12,6,18
A,233,16,7,23
A,355,3,5,8
A,118,12,22,34
A,109,8,21,29
A,162,5,1,6
A,15,19,20,39
A,77,4,3,7
A,219,0,0,0
A,299,3,17,20
A,44,17,32,49
A,153,15,11,26
A,32,16,16,32
A,244,8,7,15
A,143,4,8,12
C,70,34,17,51
C,212,14,32,46
C,95,42,22,64
C,21,28,19,47
C,19,16,18,34
C,16,18,16,34
C,116,7,18,25
C,42,7,3,10
C,368,23,32,55
C,107,27,17,44
C,375,4,11,15
C,75,20,21,41
C,83,26,11,37
C,13,3,2,5
C,324,62,20,82
C,250,16,21,37
C,151,34,13,47
C,10,4,21,25
C,91,24,12,36
C,25,1,3,4
D,365,60,30,90
D,316,46,20,66
D,56,35,22,57
D,319,10,14,24
D,52,34,17,51
D,129,7,12,19
D,291,6,8,14
D,369,13,11,24
D,366,21,16,37
D,53,26,34,60
D,320,18,21,39
D,27,15,8,23
D,363,38,16,54
D,24,43,12,55
D,315,7,13,20
D,29,39,33,72
D,198,14,11,25
D,317,18,20,38
D,11,40,28,68
D,79,10,4,14
E,336,12,9,21
E,122,5,22,27
E,305,26,4,30
E,394,25,10,35
E,257,19,11,30
E,356,5,15,20
E,186,53,48,101
E,174,68,40,108
E,289,10,40,50
E,349,33,12,45
E,290,15,28,43
E,330,35,17,52
E,188,34,14,48
E,278,7,15,22
E,303,14,11,25
E,128,21,25,46
E,357,27,16,43
E,325,10,25,35
E,304,10,9,19
E,326,37,21,58
E,254,35,22,57
E,180,14,9,23
E,251,0,1,1
E,194,14,5,19
E,266,41,12,53
E,214,0,0,0
E,350,5,14,19
E,139,31,17,48
E,182,8,10,18
E,335,13,43,56
A,300,9,17,26
A,72,17,13,30
A,157,11,7,18
A,12,0,0,0
A,352,37,28,65
A,225,9,8,17
A,84,26,22,48
A,163,41,20,61
A,59,31,20,51
A,31,34,16,50
A,253,38,18,56
A,140,18,12,30
A,373,15,23,38
A,232,53,37,90
A,353,20,30,50
A,68,23,23,46
A,105,14,20,34
A,228,32,13,45
C,4,9,6,15
C,235,27,13,40
C,9,2,7,9
C,38,23,13,36
C,306,35,12,47
C,190,7,6,13
C,23,22,14,36
C,308,5,9,14
C,30,7,7,14
C,222,1,0,1
C,379,23,32,55
C,277,7,17,24
C,61,51,10,61
C,36,21,10,31
C,26,8,8,16
C,126,21,7,28
C,359,21,10,31
C,229,19,25,44
C,28,32,18,50
C,37,10,6,16
D,296,39,17,56
D,48,9,18,27
D,54,40,15,55
D,312,1,7,8
D,132,18,24,42
D,113,34,41,75
D,76,17,26,43
D,204,32,24,56
D,287,20,22,42
D,200,23,13,36
D,197,68,20,88
D,211,20,15,35
D,101,30,22,52
D,106,41,22,63
D,49,33,25,58
D,82,25,32,57
D,177,26,18,44
D,167,37,16,53
D,374,4,4,8
D,360,46,18,64
E,246,35,21,56
E,193,45,28,73
E,285,69,38,107
E,358,2,14,16
E,301,60,27,87
E,323,23,14,37
E,207,4,6,10
E,209,3,0,3
E,267,4,4,8
E,133,7,5,12
E,201,23,17,40
E,348,0,22,22
E,346,5,7,12
E,396,15,20,35
E,123,39,14,53
E,270,16,15,31
E,121,36,11,47
E,255,77,21,98
E,243,43,22,65
E,196,13,39,52
E,136,11,13,24
E,327,2,3,5
E,260,29,16,45
E,234,2,17,19
E,331,18,59,77
E,381,40,19,59
E,134,45,29,74
E,334,30,38,68
E,347,31,13,44
E,216,2,25,27
D,318,44,27,71
D,343,28,11,39
D,283,47,80,127
C,1,18,46,64
C,378,19,37,56
C,376,49,26,75
C,40,41,19,60
C,3,37,35,72
C,322,30,16,46
C,66,3,14,17
C,263,52,31,83
C,256,31,16,47
C,370,24,32,56
C,189,37,7,44
C,135,29,17,46
C,7,16,12,28
C,280,11,7,18
C,341,30,11,41
C,86,47,74,121
C,271,30,17,47
C,309,18,16,34
C,90,50,19,69
C,55,20,15,35
D,165,6,14,20
D,78,30,27,57
D,259,44,30,74
D,130,27,14,41
D,2,46,16,62
D,342,69,29,98
D,166,4,3,7
D,43,36,14,50
D,102,48,37,85
D,150,2,19,21
A,238,23,14,37
A,142,10,19,29
A,50,24,18,42
A,171,22,15,37
A,354,41,19,60
A,149,12,18,30
A,240,42,16,58
A,146,5,34,39
A,89,14,13,27
A,104,24,19,43
A,85,3,24,27
A,65,2,15,17
A,145,31,21,52
A,34,9,16,25
A,298,8,35,43
A,62,58,27,85
A,114,0,0,0
A,33,33,13,46
A,74,11,13,24
A,231,37,15,52
D,69,31,18,49
D,284,25,47,72
D,6,31,29,60
D,22,3,9,12
D,20,53,42,95
D,5,51,24,75
D,164,13,26,39
