Trt,PlantNo,TerminalBuds,LateralBuds,TotalBuds
A,242,8,6,14
A,8,11,13,24
A,253,7,9,16
A,144,17,22,39
A,32,17,6,23
A,85,17,8,25
A,157,12,17,29
A,233,10,13,23
A,159,10,13,23
A,120,12,17,29
A,354,13,11,24
A,145,10,24,34
A,353,5,6,11
A,109,10,7,17
A,60,2,3,5
A,219,4,5,9
A,142,,,0
A,225,14,22,36
A,228,19,14,33
A,98,8,3,11
A,160,10,22,32
A,104,5,24,29
A,231,27,23,50
A,232,5,0,5
A,156,18,7,25
A,351,21,16,37
A,230,27,43,70
A,149,7,8,15
A,238,11,10,21
A,67,7,5,12
A,162,1,2,3
A,140,11,32,43
A,47,15,20,35
A,77,6,12,18
A,33,15,5,20
A,92,7,11,18
A,170,6,13,19
A,72,8,10,18
A,172,17,18,35
A,267,16,12,28
A,89,22,9,31
A,34,9,6,15
A,57,8,3,11
A,226,11,4,15
A,352,14,11,25
A,81,14,14,28
A,44,11,7,18
A,50,3,1,4
A,46,12,9,21
A,15,11,2,13
A,12,3,1,4
A,100,13,9,22
A,143,13,15,28
A,62,12,25,37
A,73,16,8,24
A,87,8,2,10
A,373,17,11,28
A,148,12,18,30
A,244,20,27,47
A,345,22,23,45
A,63,7,8,15
A,89,8,2,10
A,59,3,7,10
A,155,20,15,35
A,146,17,21,38
A,65,4,7,11
A,105,15,11,26
A,84,10,13,23
A,154,6,9,15
A,171,5,2,7
A,114,9,6,15
A,141,12,13,25
A,241,7,11,18
A,300,9,10,19
A,147,22,33,55
A,153,6,3,9
A,74,20,22,42
A,218,5,5,10
A,355,6,7,13
A,31,5,3,8
A,51,5,2,7
A,240,10,6,16
A,298,13,13,26
A,169,14,6,20
A,275,22,9,31
A,118,10,2,12
A,163,15,28,43
A,88,21,38,59
A,299,11,16,27
A,237,13,15,28
C,9,19,16,35
C,223,18,7,25
C,192,18,10,28
C,227,9,11,20
C,322,10,4,14
C,375,25,16,41
C,23,13,8,21
C,45,8,10,18
C,245,10,13,23
C,26,5,4,9
C,189,15,18,33
C,376,9,8,17
C,359,8,6,14
C,340,18,16,34
C,321,27,22,49
C,116,5,10,15
C,376,17,18,35
C,1,12,27,39
C,38,19,22,41
C,362,29,25,54
C,35,16,14,30
C,19,10,12,22
C,86,20,22,42
C,3,11,8,19
C,126,6,7,13
C,339,27,35,62
C,310,26,26,52
C,107,3,2,5
C,135,12,19,31
C,83,27,29,56
C,229,20,19,39
C,367,25,25,50
C,96,12,9,21
C,61,11,10,21
C,256,20,16,36
C,13,6,8,14
C,30,14,7,21
C,332,16,17,33
C,210,18,17,35
C,42,5,2,7
C,280,12,14,26
C,75,37,35,72
C,4,4,4,8
C,217,12,14,26
C,152,28,27,55
C,21,10,17,27
C,271,18,12,30
C,91,28,30,58
C,190,8,12,20
C,39,12,17,29
C,97,8,11,19
C,95,17,8,25
C,55,25,18,43
C,40,22,20,42
C,306,22,27,49
C,307,51,22,73
C,221,22,24,46
C,70,15,17,32
C,263,12,13,25
C,10,43,34,77
C,235,16,17,33
C,372,2,3,5
C,281,7,4,11
C,379,13,15,28
C,7,8,9,17
C,25,12,11,23
C,28,7,7,14
C,292,15,24,39
C,41,12,31,43
C,16,9,19,28
C,309,23,18,41
C,324,19,27,46
C,308,11,18,29
C,191,10,15,25
C,71,20,24,44
C,36,19,18,37
C,66,7,9,16
C,151,22,18,40
C,37,0,0,0
C,99,18,19,37
C,294,19,22,41
C,212,7,3,10
C,90,16,19,35
C,378,21,23,44
C,222,13,10,23
C,252,12,15,27
C,224,11,21,32
C,368,11,10,21
C,341,14,8,22
C,250,21,16,37
D,361,26,30,56
D,119,13,16,29
D,168,22,26,48
D,17,14,6,20
D,313,16,15,31
D,18,32,34,66
D,202,15,11,26
D,261,15,11,26
D,262,14,26,40
D,293,10,20,30
D,80,20,22,42
D,131,17,18,35
D,286,15,27,42
D,288,12,7,19
D,258,20,23,43
D,111,15,10,25
D,115,3,1,4
D,173,38,29,67
D,364,21,12,33
D,344,14,17,31
D,282,7,15,22
D,388,14,13,27
D,14,23,38,61
D,103,23,25,48
D,314,6,8,14
D,58,24,18,42
D,127,12,17,29
D,385,11,2,13
D,203,10,11,21
D,94,29,23,52
D,150,33,34,67
D,102,20,21,41
D,43,8,16,24
D,166,3,8,11
D,342,4,0,4
D,2,11,11,22
D,130,16,25,41
D,259,22,19,41
D,78,16,11,27
D,165,19,26,45
D,318,10,6,16
D,343,19,22,41
D,283,31,13,44
D,164,35,32,67
D,5,16,21,37
D,20,12,18,30
D,22,2,1,3
D,6,25,34,59
D,284,22,23,45
D,69,11,14,25
D,320,11,12,23
D,27,8,22,30
D,363,46,24,70
D,24,18,25,43
D,315,6,5,11
D,29,10,17,27
D,198,20,40,60
D,317,16,29,45
D,11,9,20,29
D,79,17,21,38
D,53,12,23,35
D,366,1,2,3
D,369,18,29,47
D,291,12,19,31
D,129,32,22,54
D,52,16,11,27
D,319,8,11,19
D,56,9,26,35
D,316,19,28,47
D,365,22,14,36
D,197,14,13,27
D,211,14,27,41
D,101,19,27,46
D,106,12,5,17
D,49,26,16,42
D,82,14,15,29
D,177,14,8,22
D,167,31,25,56
D,374,22,22,44
D,360,21,24,45
D,200,18,26,44
D,287,24,17,41
D,76,19,32,51
D,204,40,47,87
D,113,32,34,66
D,132,21,27,48
D,54,28,26,54
D,48,25,4,29
D,296,18,20,38
E,139,10,19,29
E,400,19,33,52
E,178,8,7,15
E,356,14,22,36
E,255,19,23,42
E,325,19,13,32
E,133,17,17,34
E,328,16,17,33
E,380,29,25,54
E,349,11,8,19
E,243,11,16,27
E,290,24,28,52
E,350,21,24,45
E,247,15,36,51
E,187,6,11,17
E,394,14,6,20
E,334,11,18,29
E,123,21,21,42
E,358,32,20,52
E,276,23,46,69
E,195,14,20,34
E,257,20,31,51
E,331,19,19,38
E,201,22,14,36
E,335,8,7,15
E,338,21,19,40
E,329,7,22,29
E,354,25,16,41
E,196,9,11,20
E,357,17,20,37
E,209,9,11,20
E,248,9,9,18
E,371,13,19,32
E,186,11,11,22
E,327,5,10,15
E,348,14,10,24
E,214,17,21,38
E,208,19,12,31
E,125,20,19,39
E,251,21,20,41
E,341,23,43,66
E,303,16,33,49
E,193,7,2,9
E,215,19,19,38
E,397,26,16,42
E,289,20,22,42
E,134,11,13,24
E,396,18,20,38
E,285,13,11,24
E,398,11,21,32
E,382,12,8,20
E,336,18,27,45
E,234,12,5,17
E,330,7,13,20
E,323,12,20,32
E,181,20,24,44
E,213,21,45,66
E,305,28,22,50
E,216,21,18,39
E,304,10,9,19
E,301,23,29,52
E,383,21,16,37
E,137,14,27,41
E,174,10,14,24
E,260,12,13,25
E,128,28,32,60
E,333,8,7,15
E,395,14,3,17
E,161,8,9,17
E,194,18,31,49
E,381,16,17,33
E,188,18,23,41
E,302,17,13,30
E,264,10,4,14
E,138,15,18,33
E,122,22,11,33
E,121,21,27,48
E,278,10,18,28
E,246,32,26,58
E,184,17,20,37
E,311,12,18,30
E,180,12,13,25
E,270,15,10,25
E,326,13,19,32
E,182,10,14,24
E,337,9,7,16
E,124,6,16,22
E,266,18,31,49
E,136,21,19,40
E,346,5,10,15
