PlantNo,MycTrt,NoFlowers,Flowered,Year
44,A,15,0,2019
60,A,8,0,2019
64,A,27,0,2019
72,A,3,0,2019
73,A,24,0,2019
81,A,3,0,2019
85,A,8,0,2019
105,A,50,0,2019
109,A,12,0,2019
118,A,5,0,2019
142,A,11,0,2019
144,A,2,0,2019
146,A,31,0,2019
148,A,15,0,2019
149,A,6,0,2019
153,A,2,0,2019
169,A,1,0,2019
218,A,15,0,2019
228,A,12,0,2019
230,A,94,0,2019
231,A,3,0,2019
240,A,1,0,2019
241,A,3,0,2019
298,A,30,0,2019
299,A,77,0,2019
351,A,2,0,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
999,A,0,1,2019
3,C,7,0,2019
9,C,62,0,2019
10,C,1,0,2019
23,C,5,0,2019
26,C,7,0,2019
28,C,2,0,2019
40,C,4,0,2019
45,C,14,0,2019
46,C,2,0,2019
86,C,13,0,2019
96,C,3,0,2019
98,C,4,0,2019
99,C,8,0,2019
151,C,7,0,2019
222,C,6,0,2019
250,C,3,0,2019
307,C,4,0,2019
321,C,2,0,2019
322,C,12,0,2019
368,C,12,0,2019
370,C,2,0,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
777,C,0,1,2019
5,D,11,0,2019
6,D,7,0,2019
17,D,16,0,2019
20,D,3,0,2019
24,D,35,0,2019
49,D,3,0,2019
52,D,7,0,2019
54,D,6,0,2019
56,D,3,0,2019
79,D,3,0,2019
94,D,4,0,2019
103,D,3,0,2019
106,D,4,0,2019
